step          none      temp        potential_energy  none                none              none          none
         1  0.00000000 1278.492   -176.9572587946   -176.8936683085      0.0000000000   0.620650E-04     1.31
         5  0.00000000  8620.471   -176.9927848068   -175.7026237610      0.0000000000   0.365432E-01     1.56
        10  0.00000000  954.638   -176.9963023437   -175.6246589431      0.0000000000   0.951474E-01     0.84
        15  0.00000000  319.990   -176.9973552248   -175.6211324844      0.0000000000   0.121177E+00     1.05
        20  0.00000000  273.078   -177.0045017494   -175.6197449552      0.0000000000   0.137373E+00     1.32
        25  0.00000000  433.054   -177.0125557086   -175.6138739059      0.0000000000   0.152338E+00     1.10
        30  0.00000000  725.284   -177.0256590406   -175.6039079066      0.0000000000   0.173773E+00     2.03
        35  0.00000000  924.844   -177.0255363826   -175.5718139885      0.0000000000   0.207959E+00     1.31
        40  0.00000000  787.562   -177.0294223185   -175.5443927397      0.0000000000   0.255319E+00     1.97
        45  0.00000000  522.249   -177.0232572636   -175.5214008129      0.0000000000   0.302592E+00     3.05
        50  0.00000000  442.280   -177.0055239361   -175.4912043984      0.0000000000   0.344028E+00     2.61
        55  0.00000000  447.627   -177.0135204512   -175.4879339751      0.0000000000   0.379288E+00     3.06
        60  0.00000000  498.260   -177.0057452018   -175.4652246026      0.0000000000   0.411280E+00     2.62
        65  0.00000000  495.924   -177.0117058564   -175.4552181800      0.0000000000   0.444861E+00     8.29
        70  0.00000000  641.985   -177.0231405239   -175.4446687518      0.0000000000   0.483933E+00    11.13
        75  0.00000000  918.568   -177.0465318035   -175.4335360393      0.0000000000   0.525788E+00     9.61
        80  0.00000000 1390.133   -177.0659048908   -175.3925295936      0.0000000000   0.562442E+00     9.62
        85  0.00000000 1762.274   -177.0773922480   -175.3175715350      0.0000000000   0.608884E+00     7.01
        90  0.00000000 2854.979   -177.1069737034   -175.1753488359      0.0000000000   0.659592E+00     7.85
        95  0.00000000 5027.768   -177.1219814013   -174.7524665150      0.0000000000   0.784642E+00     5.48
       100  0.00000000 8209.270   -177.1539490172   -173.3883649840      0.0000000000   0.105062E+01     5.68
       105  0.00000000 1405.051   -177.1629683513   -172.8502902725      0.0000000000   0.130324E+01     8.31
       110  0.00000000  178.895   -177.1619269575   -172.8477354489      0.0000000000   0.135679E+01     7.45
       115  0.00000000  159.826   -177.1632505703   -172.8436915121      0.0000000000   0.134831E+01     4.16
       120  0.00000000  104.934   -177.1665929338   -172.8440137149      0.0000000000   0.133700E+01     2.19
       125  0.00000000  114.208   -177.1728817811   -172.8469864030      0.0000000000   0.135601E+01     2.41
       130  0.00000000  115.949   -177.1731673423   -172.8413815310      0.0000000000   0.140260E+01     1.75
       135  0.00000000  233.146   -177.1823862252   -172.8435734851      0.0000000000   0.141746E+01     2.41
       140  0.00000000  403.372   -177.1904871844   -172.8391912244      0.0000000000   0.146992E+01     1.97
       145  0.00000000  806.726   -177.1993217381   -172.8194904845      0.0000000000   0.156013E+01     2.41
       150  0.00000000 1224.954   -177.2050750161   -172.7739542625      0.0000000000   0.168579E+01     2.63
       155  0.00000000 1035.602   -177.1977151049   -172.7145233267      0.0000000000   0.184446E+01     3.28
       160  0.00000000  603.999   -177.1831505297   -172.6717815278      0.0000000000   0.198494E+01     3.06
       165  0.00000000  314.872   -177.1705948484   -172.6489467204      0.0000000000   0.208993E+01     3.07
       170  0.00000000  192.352   -177.1591031053   -172.6323248755      0.0000000000   0.215836E+01     2.85
       175  0.00000000  180.319   -177.1505309840   -172.6188237145      0.0000000000   0.219738E+01     2.00
       180  0.00000000  249.290   -177.1513915378   -172.6124971751      0.0000000000   0.221978E+01     2.82
       185  0.00000000  376.366   -177.1457075767   -172.5960876286      0.0000000000   0.223454E+01     2.40
       190  0.00000000  563.955   -177.1379503404   -172.5703242648      0.0000000000   0.225433E+01     3.06
       195  0.00000000  744.023   -177.1114262639   -172.5183425528      0.0000000000   0.228018E+01     2.41
       200  0.00000000  536.518   -177.0845248327   -172.4732708949      0.0000000000   0.229990E+01     2.19
       205  0.00000000  528.784   -177.0713907070   -172.4449080929      0.0000000000   0.227646E+01     2.84
       210  0.00000000  609.684   -177.0757326438   -172.4309329909      0.0000000000   0.221001E+01     3.29
       215  0.00000000  680.789   -177.1038223260   -172.4344840962      0.0000000000   0.213095E+01     1.98
       220  0.00000000  875.418   -177.1086586935   -172.4023469575      0.0000000000   0.205365E+01     3.08
       225  0.00000000  777.966   -177.1275119023   -172.3906839344      0.0000000000   0.197422E+01     7.64
       230  0.00000000  876.600   -177.1523773159   -172.3824367496      0.0000000000   0.184769E+01     5.04
       235  0.00000000  637.639   -177.1636253231   -172.3685080655      0.0000000000   0.174109E+01     6.58
       240  0.00000000  420.293   -177.1659417425   -172.3580130467      0.0000000000   0.168756E+01     5.26
       245  0.00000000  439.503   -177.1731378083   -172.3494948063      0.0000000000   0.169050E+01     3.08
       250  0.00000000  407.577   -177.1729656932   -172.3363057174      0.0000000000   0.170494E+01     5.05
       255  0.00000000  528.522   -177.1724101584   -172.3180498131      0.0000000000   0.171205E+01     5.04
       260  0.00000000  472.216   -177.1590569388   -172.2883813361      0.0000000000   0.172247E+01     2.63
       265  0.00000000  505.874   -177.1633995104   -172.2751602849      0.0000000000   0.173698E+01     5.75
       270  0.00000000  561.849   -177.1612047204   -172.2539421307      0.0000000000   0.174246E+01     8.99
       275  0.00000000  537.294   -177.1510920540   -172.2253699152      0.0000000000   0.172789E+01     5.24
       280  0.00000000  431.802   -177.1363637475   -172.1957392390      0.0000000000   0.171002E+01     5.24
       285  0.00000000  349.765   -177.1327858263   -172.1816184682      0.0000000000   0.169874E+01     7.44
       290  0.00000000  248.391   -177.1296979428   -172.1729739718      0.0000000000   0.168766E+01     7.01
       295  0.00000000  217.442   -177.1306492675   -172.1697098141      0.0000000000   0.168168E+01     4.83
       300  0.00000000  281.496   -177.1224869765   -172.1562003796      0.0000000000   0.164912E+01     7.88
       305  0.00000000  493.580   -177.1021121900   -172.1260399120      0.0000000000   0.160199E+01     7.87
       310  0.00000000  565.992   -177.0974485925   -172.0989794879      0.0000000000   0.153767E+01     7.01
       315  0.00000000  599.502   -177.0544728411   -172.0376629057      0.0000000000   0.144886E+01     6.13
       320  0.00000000  242.415   -177.0697744096   -172.0418192015      0.0000000000   0.137994E+01     7.21
       325  0.00000000  175.955   -177.0804626747   -172.0456844241      0.0000000000   0.135621E+01     7.89
       330  0.00000000  219.580   -177.0758152617   -172.0357991052      0.0000000000   0.137348E+01     6.15
       335  0.00000000  185.256   -177.0946382715   -172.0523837887      0.0000000000   0.136579E+01     7.00
       340  0.00000000  104.681   -177.1001639547   -172.0577661459      0.0000000000   0.134887E+01     7.22
       345  0.00000000  135.099   -177.0951453539   -172.0508836347      0.0000000000   0.136331E+01     7.22
       350  0.00000000  220.189   -177.1024763872   -172.0551022610      0.0000000000   0.134664E+01     7.44
       355  0.00000000  279.683   -177.0895242514   -172.0411273016      0.0000000000   0.134835E+01     9.17
       360  0.00000000  283.248   -177.1081738076   -172.0606931142      0.0000000000   0.137661E+01     9.88
       365  0.00000000  271.762   -177.1043840180   -172.0571329903      0.0000000000   0.136880E+01     7.01
       370  0.00000000  327.126   -177.0914981935   -172.0413508300      0.0000000000   0.139972E+01     5.70
       375  0.00000000  266.234   -177.1144147513   -172.0640439186      0.0000000000   0.139601E+01     7.45
       380  0.00000000  250.023   -177.0895932704   -172.0385578507      0.0000000000   0.139720E+01    10.51
       385  0.00000000  240.849   -177.0950484633   -172.0432090487      0.0000000000   0.141057E+01     5.26
       390  0.00000000  300.131   -177.1023675568   -172.0489643462      0.0000000000   0.142397E+01     5.25
       395  0.00000000  340.869   -177.1049574775   -172.0515568344      0.0000000000   0.144877E+01     9.42
       400  0.00000000  322.611   -177.1044037611   -172.0523637614      0.0000000000   0.147780E+01     7.51
       405  0.00000000  325.897   -177.1289787430   -172.0759481778      0.0000000000   0.149386E+01     7.66
       410  0.00000000  370.885   -177.1295135792   -172.0751581036      0.0000000000   0.152215E+01     7.88
       415  0.00000000  495.919   -177.1433043518   -172.0848216519      0.0000000000   0.152729E+01     7.66
       420  0.00000000  879.647   -177.1532548846   -172.0800017100      0.0000000000   0.160227E+01     4.39
       425  0.00000000 1802.089   -177.1722380659   -172.0434030145      0.0000000000   0.167160E+01     3.07
       430  0.00000000 3142.392   -177.2084420570   -171.9163816867      0.0000000000   0.185306E+01     4.39
